omega (eV),epsilon 1,epsilon 2,n,k,alpha (1/m)
8.50E+00,-8.07E+00,4.522963963,0.768286,2.94354,2.54E+08
8.51E+00,-8.02E+00,4.431347513,0.756024,2.93069,2.53E+08
8.52E+00,-7.96E+00,4.342755151,0.744266,2.91748,2.52E+08
8.53E+00,-7.90E+00,4.257315689,0.733027,2.90393,2.51E+08
8.54E+00,-7.83E+00,4.175147059,0.722327,2.89007,2.50E+08
8.55E+00,-7.76E+00,4.096355984,0.71218,2.87593,2.49E+08
8.56E+00,-7.69E+00,4.021037669,0.702601,2.86154,2.48E+08
8.57E+00,-7.62E+00,3.949275479,0.693605,2.84692,2.47E+08
8.58E+00,-7.55E+00,3.881140636,0.685202,2.83211,2.46E+08
8.59E+00,-7.48E+00,3.81669194,0.677404,2.81715,2.45E+08
8.60E+00,-7.40E+00,3.755975504,0.670219,2.80205,2.44E+08
8.61E+00,-7.33E+00,3.699024533,0.663653,2.78687,2.43E+08
8.62E+00,-7.25E+00,3.645859139,0.657712,2.77162,2.42E+08
8.63E+00,-7.17E+00,3.596486203,0.652399,2.75635,2.41E+08
8.64E+00,-7.09E+00,3.550899297,0.647714,2.7411,2.40E+08
8.65E+00,-7.02E+00,3.509078661,0.643656,2.7259,2.39E+08
8.66E+00,-6.94E+00,3.470991247,0.640221,2.71078,2.38E+08
8.67E+00,-6.86E+00,3.436590833,0.637401,2.69578,2.37E+08
8.68E+00,-6.78E+00,3.405818212,0.635189,2.68095,2.36E+08
8.69E+00,-6.71E+00,3.378601445,0.633573,2.66631,2.35E+08
8.70E+00,-6.63E+00,3.354856201,0.632538,2.6519,2.34E+08
8.71E+00,-6.56E+00,3.334486161,0.632068,2.63776,2.33E+08
8.72E+00,-6.49E+00,3.317383495,0.632142,2.62392,2.32E+08
8.73E+00,-6.41E+00,3.303429413,0.63274,2.61042,2.31E+08
8.74E+00,-6.34E+00,3.292494771,0.633836,2.59728,2.30E+08
8.75E+00,-6.28E+00,3.284440747,0.635404,2.58453,2.29E+08
8.76E+00,-6.21E+00,3.279119564,0.637414,2.57221,2.28E+08
8.77E+00,-6.15E+00,3.276375265,0.639834,2.56033,2.28E+08
8.78E+00,-6.08E+00,3.276044526,0.642633,2.54893,2.27E+08
8.79E+00,-6.02E+00,3.27795751,0.645773,2.53801,2.26E+08
8.80E+00,-5.97E+00,3.281938743,0.649219,2.52761,2.25E+08
8.81E+00,-5.91E+00,3.287808018,0.652933,2.51772,2.25E+08
8.82E+00,-5.86E+00,3.29538131,0.656875,2.50838,2.24E+08
8.83E+00,-5.81E+00,3.304471701,0.661007,2.49957,2.24E+08
8.84E+00,-5.76E+00,3.314890307,0.665288,2.49132,2.23E+08
8.85E+00,-5.72E+00,3.326447206,0.669678,2.48362,2.23E+08
8.86E+00,-5.68E+00,3.338952353,0.674136,2.47647,2.22E+08
8.87E+00,-5.64E+00,3.35221649,0.678625,2.46986,2.22E+08
8.88E+00,-5.60E+00,3.366052031,0.683104,2.46379,2.22E+08
8.89E+00,-5.57E+00,3.380273935,0.687536,2.45825,2.21E+08
8.90E+00,-5.54E+00,3.394700549,0.691884,2.45323,2.21E+08
8.91E+00,-5.51E+00,3.409154429,0.696114,2.44871,2.21E+08
8.92E+00,-5.49E+00,3.423463132,0.700192,2.44466,2.21E+08
8.93E+00,-5.46E+00,3.43745997,0.704086,2.44108,2.21E+08
8.94E+00,-5.44E+00,3.450984739,0.707769,2.43793,2.21E+08
8.95E+00,-5.42E+00,3.463884406,0.711211,2.4352,2.21E+08
8.96E+00,-5.41E+00,3.476013759,0.71439,2.43285,2.21E+08
8.97E+00,-5.39E+00,3.487236013,0.717283,2.43087,2.21E+08
8.98E+00,-5.38E+00,3.49742338,0.71987,2.42921,2.21E+08
8.99E+00,-5.37E+00,3.506457584,0.722134,2.42785,2.21E+08
9.00E+00,-5.36E+00,3.514230337,0.72406,2.42675,2.21E+08
9.01E+00,-5.36E+00,3.520643758,0.725637,2.4259,2.22E+08
9.02E+00,-5.35E+00,3.525610738,0.726856,2.42525,2.22E+08
9.03E+00,-5.35E+00,3.529055258,0.72771,2.42477,2.22E+08
9.04E+00,-5.35E+00,3.530912636,0.728194,2.42443,2.22E+08
9.05E+00,-5.35E+00,3.531129722,0.728307,2.4242,2.22E+08
9.06E+00,-5.35E+00,3.529665029,0.72805,2.42406,2.23E+08
9.07E+00,-5.35E+00,3.526488796,0.727425,2.42395,2.23E+08
9.08E+00,-5.35E+00,3.521582987,0.726438,2.42387,2.23E+08
9.09E+00,-5.35E+00,3.514941222,0.725095,2.42378,2.23E+08
9.10E+00,-5.35E+00,3.506568641,0.723408,2.42365,2.24E+08
9.11E+00,-5.35E+00,3.496481702,0.721385,2.42345,2.24E+08
9.12E+00,-5.35E+00,3.484707905,0.719041,2.42316,2.24E+08
9.13E+00,-5.36E+00,3.471285457,0.71639,2.42276,2.24E+08
9.14E+00,-5.36E+00,3.456262876,0.713448,2.42223,2.24E+08
9.15E+00,-5.36E+00,3.439698522,0.710232,2.42153,2.25E+08
9.16E+00,-5.36E+00,3.421660083,0.706762,2.42066,2.25E+08
9.17E+00,-5.36E+00,3.402224,0.703057,2.41959,2.25E+08
9.18E+00,-5.36E+00,3.381474847,0.699138,2.41832,2.25E+08
9.19E+00,-5.36E+00,3.359504664,0.695027,2.41682,2.25E+08
9.20E+00,-5.36E+00,3.336412252,0.690746,2.41508,2.25E+08
9.21E+00,-5.35E+00,3.312302436,0.686318,2.41309,2.25E+08
9.22E+00,-5.35E+00,3.2872853,0.681768,2.41085,2.25E+08
9.23E+00,-5.34E+00,3.261475402,0.677118,2.40835,2.25E+08
9.24E+00,-5.33E+00,3.234990973,0.672393,2.40558,2.25E+08
9.25E+00,-5.33E+00,3.207953106,0.667617,2.40254,2.25E+08
9.26E+00,-5.32E+00,3.180484943,0.662815,2.39922,2.25E+08
9.27E+00,-5.31E+00,3.152710863,0.65801,2.39564,2.25E+08
9.28E+00,-5.29E+00,3.124755681,0.653227,2.39178,2.25E+08
9.29E+00,-5.28E+00,3.09674385,0.648488,2.38766,2.25E+08
9.30E+00,-5.27E+00,3.068798692,0.643817,2.38329,2.25E+08
9.31E+00,-5.25E+00,3.041041633,0.639236,2.37865,2.24E+08
9.32E+00,-5.23E+00,3.013591479,0.634767,2.37378,2.24E+08
9.33E+00,-5.21E+00,2.986563704,0.63043,2.36867,2.24E+08
9.34E+00,-5.19E+00,2.960069776,0.626245,2.36335,2.24E+08
9.35E+00,-5.17E+00,2.934216508,0.622232,2.35781,2.23E+08
9.36E+00,-5.15E+00,2.909105451,0.618408,2.35209,2.23E+08
9.37E+00,-5.13E+00,2.884832309,0.61479,2.34619,2.23E+08
9.38E+00,-5.10E+00,2.861486408,0.611392,2.34014,2.22E+08
9.39E+00,-5.08E+00,2.839150182,0.608229,2.33395,2.22E+08
9.40E+00,-5.05E+00,2.817898721,0.605312,2.32764,2.22E+08
9.41E+00,-5.02E+00,2.797799339,0.602653,2.32124,2.21E+08
9.42E+00,-5.00E+00,2.778911201,0.60026,2.31476,2.21E+08
9.43E+00,-4.97E+00,2.76128498,0.59814,2.30823,2.21E+08
9.44E+00,-4.94E+00,2.744962575,0.596299,2.30167,2.20E+08
9.45E+00,-4.91E+00,2.729976857,0.59474,2.2951,2.20E+08
9.46E+00,-4.89E+00,2.716351484,0.593464,2.28855,2.19E+08
9.47E+00,-4.86E+00,2.704100752,0.592471,2.28205,2.19E+08
9.48E+00,-4.83E+00,2.693229509,0.591758,2.27562,2.19E+08
9.49E+00,-4.80E+00,2.683733117,0.591319,2.26928,2.18E+08
9.50E+00,-4.77E+00,2.675597478,0.591149,2.26305,2.18E+08
9.51E+00,-4.74E+00,2.668799112,0.591238,2.25696,2.18E+08
9.52E+00,-4.72E+00,2.6633053,0.591575,2.25103,2.17E+08
9.53E+00,-4.69E+00,2.659074291,0.592146,2.24529,2.17E+08
9.54E+00,-4.66E+00,2.656055563,0.592938,2.23974,2.17E+08
9.55E+00,-4.64E+00,2.654190154,0.593933,2.23442,2.16E+08
9.56E+00,-4.62E+00,2.653411056,0.595112,2.22934,2.16E+08
9.57E+00,-4.59E+00,2.653643663,0.596456,2.22451,2.16E+08
9.58E+00,-4.57E+00,2.654806289,0.597942,2.21995,2.16E+08
9.59E+00,-4.55E+00,2.656810736,0.599549,2.21567,2.15E+08
9.60E+00,-4.53E+00,2.659562918,0.601252,2.21169,2.15E+08
9.61E+00,-4.51E+00,2.662963539,0.603026,2.208,2.15E+08
9.62E+00,-4.49E+00,2.666908814,0.604846,2.20462,2.15E+08
9.63E+00,-4.48E+00,2.671291229,0.606686,2.20154,2.15E+08
9.64E+00,-4.46E+00,2.67600034,0.608521,2.19877,2.15E+08
9.65E+00,-4.45E+00,2.680923597,0.610324,2.19631,2.15E+08
9.66E+00,-4.44E+00,2.685947184,0.612069,2.19415,2.15E+08
9.67E+00,-4.43E+00,2.690956884,0.613731,2.19229,2.15E+08
9.68E+00,-4.42E+00,2.695838933,0.615286,2.19072,2.15E+08
9.69E+00,-4.41E+00,2.700480888,0.61671,2.18942,2.15E+08
9.70E+00,-4.41E+00,2.704772468,0.617982,2.18839,2.15E+08
9.71E+00,-4.40E+00,2.708606385,0.619078,2.18761,2.15E+08
9.72E+00,-4.40E+00,2.711879148,0.619981,2.18707,2.15E+08
9.73E+00,-4.40E+00,2.714491823,0.620672,2.18673,2.16E+08
9.74E+00,-4.40E+00,2.716350765,0.621135,2.1866,2.16E+08
9.75E+00,-4.40E+00,2.717368285,0.621356,2.18665,2.16E+08
9.76E+00,-4.40E+00,2.717463278,0.621321,2.18684,2.16E+08
9.77E+00,-4.40E+00,2.716561779,0.62102,2.18718,2.17E+08
9.78E+00,-4.40E+00,2.714597457,0.620446,2.18762,2.17E+08
9.79E+00,-4.40E+00,2.71151205,0.619591,2.18815,2.17E+08
9.80E+00,-4.41E+00,2.707255711,0.618451,2.18874,2.17E+08
9.81E+00,-4.41E+00,2.701787298,0.617024,2.18937,2.18E+08
9.82E+00,-4.42E+00,2.695074578,0.615309,2.19002,2.18E+08
9.83E+00,-4.42E+00,2.687094361,0.613308,2.19066,2.18E+08
9.84E+00,-4.43E+00,2.67783256,0.611023,2.19127,2.19E+08
9.85E+00,-4.43E+00,2.667284174,0.608462,2.19183,2.19E+08
9.86E+00,-4.44E+00,2.655453203,0.605629,2.19231,2.19E+08
9.87E+00,-4.44E+00,2.642352492,0.602534,2.1927,2.19E+08
9.88E+00,-4.45E+00,2.628003516,0.599187,2.19298,2.20E+08
9.89E+00,-4.46E+00,2.612436091,0.595599,2.19312,2.20E+08
9.90E+00,-4.46E+00,2.595688037,0.591783,2.19311,2.20E+08
9.91E+00,-4.46E+00,2.577804788,0.587753,2.19293,2.20E+08
9.92E+00,-4.47E+00,2.558838947,0.583524,2.19257,2.20E+08
9.93E+00,-4.47E+00,2.5388498,0.579112,2.19202,2.21E+08
9.94E+00,-4.47E+00,2.517902799,0.574534,2.19126,2.21E+08
9.95E+00,-4.47E+00,2.496068997,0.569807,2.19028,2.21E+08
9.96E+00,-4.47E+00,2.473424471,0.56495,2.18906,2.21E+08
9.97E+00,-4.47E+00,2.45004971,0.559982,2.18762,2.21E+08
9.98E+00,-4.47E+00,2.426028992,0.554921,2.18592,2.21E+08
9.99E+00,-4.47E+00,2.401449749,0.549786,2.18398,2.21E+08
1.00E+01,-4.46E+00,2.376401916,0.544599,2.18179,2.21E+08
1.00E+01,-4.46E+00,2.350977289,0.539377,2.17935,2.21E+08
1.00E+01,-4.45E+00,2.325268874,0.534141,2.17664,2.21E+08
1.00E+01,-4.45E+00,2.29937025,0.52891,2.17369,2.21E+08
1.00E+01,-4.44E+00,2.273374935,0.523703,2.17048,2.21E+08
1.01E+01,-4.43E+00,2.247375772,0.518539,2.16703,2.21E+08
1.01E+01,-4.42E+00,2.221464327,0.513437,2.16333,2.21E+08
1.01E+01,-4.40E+00,2.195730312,0.508414,2.15939,2.20E+08
1.01E+01,-4.39E+00,2.17026103,0.503488,2.15523,2.20E+08
1.01E+01,-4.38E+00,2.145140848,0.498675,2.15084,2.20E+08
1.01E+01,-4.36E+00,2.120450699,0.493991,2.14624,2.20E+08
1.01E+01,-4.35E+00,2.096267618,0.489451,2.14145,2.19E+08
1.01E+01,-4.33E+00,2.07266431,0.485068,2.13647,2.19E+08
1.01E+01,-4.31E+00,2.049708753,0.480857,2.13131,2.19E+08
1.01E+01,-4.29E+00,2.027463848,0.476828,2.12599,2.18E+08
1.02E+01,-4.27E+00,2.005987099,0.472992,2.12053,2.18E+08
1.02E+01,-4.25E+00,1.985330335,0.469359,2.11494,2.18E+08
1.02E+01,-4.23E+00,1.965539483,0.465938,2.10923,2.17E+08
1.02E+01,-4.21E+00,1.946654373,0.462734,2.10343,2.17E+08
1.02E+01,-4.19E+00,1.928708594,0.459754,2.09754,2.17E+08
1.02E+01,-4.17E+00,1.91172939,0.457003,2.09159,2.16E+08
1.02E+01,-4.14E+00,1.895737599,0.454482,2.0856,2.16E+08
1.02E+01,-4.12E+00,1.880747644,0.452194,2.07958,2.15E+08
1.02E+01,-4.10E+00,1.866767551,0.450137,2.07355,2.15E+08
1.02E+01,-4.07E+00,1.85379903,0.448312,2.06753,2.15E+08
1.03E+01,-4.05E+00,1.841837579,0.446715,2.06153,2.14E+08
1.03E+01,-4.03E+00,1.830872642,0.445342,2.05558,2.14E+08
1.03E+01,-4.00E+00,1.820887801,0.444188,2.04968,2.13E+08
1.03E+01,-3.98E+00,1.811861002,0.443245,2.04386,2.13E+08
1.03E+01,-3.96E+00,1.803764826,0.442505,2.03813,2.13E+08
1.03E+01,-3.94E+00,1.796566785,0.44196,2.0325,2.12E+08
1.03E+01,-3.91E+00,1.790229657,0.441599,2.02699,2.12E+08
1.03E+01,-3.89E+00,1.784711846,0.441409,2.02161,2.11E+08
1.03E+01,-3.87E+00,1.779967766,0.44138,2.01637,2.11E+08
1.03E+01,-3.85E+00,1.775948261,0.441498,2.01128,2.11E+08
1.04E+01,-3.83E+00,1.77260103,0.441749,2.00635,2.10E+08
1.04E+01,-3.81E+00,1.769871081,0.442117,2.00158,2.10E+08
1.04E+01,-3.79E+00,1.767701197,0.44259,1.997,2.10E+08
1.04E+01,-3.77E+00,1.766032412,0.44315,1.99259,2.10E+08
1.04E+01,-3.76E+00,1.764804492,0.443784,1.98836,2.09E+08
1.04E+01,-3.74E+00,1.763956427,0.444474,1.98432,2.09E+08
1.04E+01,-3.72E+00,1.763426916,0.445206,1.98046,2.09E+08
1.04E+01,-3.71E+00,1.763154848,0.445965,1.97679,2.09E+08
1.04E+01,-3.69E+00,1.763079782,0.446735,1.97329,2.09E+08
1.04E+01,-3.68E+00,1.763142407,0.447502,1.96998,2.08E+08
1.05E+01,-3.67E+00,1.763284988,0.448253,1.96684,2.08E+08
1.05E+01,-3.66E+00,1.763451797,0.448974,1.96387,2.08E+08
1.05E+01,-3.64E+00,1.763589509,0.449652,1.96106,2.08E+08
1.05E+01,-3.63E+00,1.76364758,0.450277,1.9584,2.08E+08
1.05E+01,-3.62E+00,1.76357859,0.450837,1.95589,2.08E+08
1.05E+01,-3.61E+00,1.763338551,0.451324,1.95352,2.08E+08
1.05E+01,-3.60E+00,1.762887171,0.451729,1.95127,2.08E+08
1.05E+01,-3.59E+00,1.762188091,0.452044,1.94913,2.08E+08
1.05E+01,-3.59E+00,1.761209063,0.452264,1.9471,2.08E+08
1.05E+01,-3.58E+00,1.75992209,0.452384,1.94517,2.08E+08
1.06E+01,-3.57E+00,1.758303524,0.452399,1.94331,2.08E+08
1.06E+01,-3.56E+00,1.756334104,0.452308,1.94153,2.08E+08
1.06E+01,-3.56E+00,1.753998956,0.452108,1.9398,2.08E+08
1.06E+01,-3.55E+00,1.751287542,0.451799,1.93813,2.08E+08
1.06E+01,-3.55E+00,1.748193557,0.451382,1.93649,2.08E+08
1.06E+01,-3.54E+00,1.744714791,0.450859,1.93488,2.08E+08
1.06E+01,-3.53E+00,1.740852933,0.450231,1.93329,2.08E+08
1.06E+01,-3.53E+00,1.736613351,0.449502,1.93171,2.08E+08
1.06E+01,-3.52E+00,1.732004816,0.448676,1.93013,2.08E+08
1.06E+01,-3.52E+00,1.727039211,0.447758,1.92854,2.08E+08
1.07E+01,-3.51E+00,1.721731195,0.446753,1.92694,2.08E+08
1.07E+01,-3.51E+00,1.716097852,0.445666,1.92532,2.08E+08
1.07E+01,-3.50E+00,1.710158318,0.444504,1.92367,2.08E+08
1.07E+01,-3.50E+00,1.703933394,0.443272,1.922,2.08E+08
1.07E+01,-3.49E+00,1.697445153,0.441977,1.92029,2.08E+08
1.07E+01,-3.49E+00,1.690716541,0.440626,1.91854,2.08E+08
1.07E+01,-3.48E+00,1.683770989,0.439224,1.91676,2.08E+08
1.07E+01,-3.48E+00,1.676632024,0.437778,1.91493,2.08E+08
1.07E+01,-3.47E+00,1.669322909,0.436295,1.91307,2.08E+08
1.07E+01,-3.46E+00,1.661866291,0.434779,1.91116,2.08E+08
1.08E+01,-3.46E+00,1.654283881,0.433235,1.90922,2.08E+08
1.08E+01,-3.45E+00,1.646596167,0.43167,1.90724,2.08E+08
1.08E+01,-3.44E+00,1.638822152,0.430088,1.90522,2.08E+08
1.08E+01,-3.44E+00,1.63097914,0.428491,1.90317,2.08E+08
1.08E+01,-3.43E+00,1.623082554,0.426884,1.90108,2.08E+08
1.08E+01,-3.43E+00,1.615145801,0.42527,1.89896,2.08E+08
1.08E+01,-3.42E+00,1.607180179,0.423651,1.89682,2.08E+08
1.08E+01,-3.41E+00,1.59919483,0.422028,1.89466,2.08E+08
1.08E+01,-3.40E+00,1.591196729,0.420403,1.89247,2.08E+08
1.08E+01,-3.40E+00,1.583190729,0.418776,1.89026,2.08E+08
1.09E+01,-3.39E+00,1.575179635,0.417147,1.88804,2.08E+08
1.09E+01,-3.38E+00,1.567164321,0.415517,1.8858,2.08E+08
1.09E+01,-3.38E+00,1.559143884,0.413884,1.88355,2.08E+08
1.09E+01,-3.37E+00,1.551115826,0.412248,1.88129,2.07E+08
1.09E+01,-3.36E+00,1.543076271,0.410606,1.87902,2.07E+08
1.09E+01,-3.35E+00,1.535020191,0.408958,1.87675,2.07E+08
1.09E+01,-3.35E+00,1.526941668,0.407302,1.87446,2.07E+08
1.09E+01,-3.34E+00,1.518834154,0.405635,1.87217,2.07E+08
1.09E+01,-3.33E+00,1.51069075,0.403957,1.86987,2.07E+08
1.09E+01,-3.33E+00,1.502504479,0.402265,1.86756,2.07E+08
1.10E+01,-3.32E+00,1.494268564,0.400558,1.86524,2.07E+08
1.10E+01,-3.31E+00,1.48597669,0.398834,1.8629,2.07E+08
1.10E+01,-3.30E+00,1.477623263,0.397092,1.86055,2.07E+08
1.10E+01,-3.30E+00,1.469203645,0.395332,1.85819,2.07E+08
1.10E+01,-3.29E+00,1.46071437,0.393553,1.85581,2.07E+08
1.10E+01,-3.28E+00,1.452153336,0.391754,1.8534,2.07E+08
1.10E+01,-3.27E+00,1.443519968,0.389937,1.85097,2.07E+08
1.10E+01,-3.27E+00,1.434815354,0.388102,1.8485,2.06E+08
1.10E+01,-3.26E+00,1.42604234,0.38625,1.84601,2.06E+08
1.10E+01,-3.25E+00,1.4172056,0.384383,1.84348,2.06E+08
1.11E+01,-3.24E+00,1.40831167,0.382503,1.84091,2.06E+08
1.11E+01,-3.23E+00,1.399368941,0.380614,1.8383,2.06E+08
1.11E+01,-3.23E+00,1.390387622,0.378718,1.83565,2.06E+08
1.11E+01,-3.22E+00,1.381379672,0.376818,1.83295,2.06E+08
1.11E+01,-3.21E+00,1.372358697,0.37492,1.8302,2.06E+08
1.11E+01,-3.20E+00,1.363339815,0.373027,1.8274,2.06E+08
1.11E+01,-3.19E+00,1.354339499,0.371143,1.82455,2.05E+08
1.11E+01,-3.18E+00,1.345375393,0.369274,1.82165,2.05E+08
1.11E+01,-3.17E+00,1.336466107,0.367425,1.81869,2.05E+08
1.11E+01,-3.16E+00,1.327630998,0.365601,1.81568,2.05E+08
1.12E+01,-3.15E+00,1.318889933,0.363807,1.81262,2.05E+08
1.12E+01,-3.14E+00,1.310263045,0.362049,1.80951,2.05E+08
1.12E+01,-3.13E+00,1.301770481,0.360331,1.80635,2.05E+08
1.12E+01,-3.12E+00,1.293432157,0.35866,1.80315,2.04E+08
1.12E+01,-3.11E+00,1.285267503,0.357039,1.7999,2.04E+08
1.12E+01,-3.10E+00,1.277295226,0.355474,1.79661,2.04E+08
1.12E+01,-3.09E+00,1.26953307,0.353968,1.79329,2.04E+08
1.12E+01,-3.08E+00,1.261997606,0.352526,1.78993,2.04E+08
1.12E+01,-3.07E+00,1.254704021,0.351152,1.78655,2.03E+08
1.12E+01,-3.06E+00,1.247665938,0.349848,1.78316,2.03E+08
1.13E+01,-3.05E+00,1.240895251,0.348617,1.77974,2.03E+08
1.13E+01,-3.03E+00,1.234401985,0.347461,1.77632,2.03E+08
1.13E+01,-3.02E+00,1.228194179,0.346381,1.77289,2.03E+08
1.13E+01,-3.01E+00,1.222277794,0.345379,1.76947,2.02E+08
1.13E+01,-3.00E+00,1.216656651,0.344454,1.76606,2.02E+08
1.13E+01,-2.99E+00,1.211332386,0.343607,1.76267,2.02E+08
1.13E+01,-2.98E+00,1.20630444,0.342836,1.7593,2.02E+08
1.13E+01,-2.97E+00,1.201570064,0.34214,1.75596,2.01E+08
1.13E+01,-2.96E+00,1.197124358,0.341516,1.75266,2.01E+08
1.13E+01,-2.94E+00,1.192960319,0.340963,1.7494,2.01E+08
1.14E+01,-2.93E+00,1.189068923,0.340476,1.74619,2.01E+08
1.14E+01,-2.92E+00,1.185439213,0.340052,1.74303,2.01E+08
1.14E+01,-2.91E+00,1.182058414,0.339686,1.73993,2.01E+08
1.14E+01,-2.90E+00,1.178912051,0.339374,1.73689,2.00E+08
1.14E+01,-2.89E+00,1.175984087,0.33911,1.73393,2.00E+08
1.14E+01,-2.88E+00,1.173257067,0.33889,1.73103,2.00E+08
1.14E+01,-2.87E+00,1.17071227,0.338707,1.72821,2.00E+08
1.14E+01,-2.86E+00,1.168329862,0.338555,1.72547,2.00E+08
1.14E+01,-2.85E+00,1.16608906,0.338427,1.7228,2.00E+08
1.14E+01,-2.84E+00,1.163968289,0.338319,1.72023,1.99E+08
1.15E+01,-2.84E+00,1.161945343,0.338221,1.71773,1.99E+08
1.15E+01,-2.83E+00,1.159997539,0.338129,1.71532,1.99E+08
1.15E+01,-2.82E+00,1.158101876,0.338035,1.71299,1.99E+08
1.15E+01,-2.81E+00,1.156235181,0.337933,1.71075,1.99E+08
1.15E+01,-2.81E+00,1.154374255,0.337816,1.70858,1.99E+08
1.15E+01,-2.80E+00,1.152496008,0.337677,1.70651,1.99E+08
1.15E+01,-2.79E+00,1.150577598,0.337511,1.70451,1.99E+08
1.15E+01,-2.79E+00,1.148596553,0.33731,1.70258,1.99E+08
1.15E+01,-2.78E+00,1.146530893,0.337069,1.70073,1.99E+08
1.15E+01,-2.77E+00,1.144359242,0.336783,1.69896,1.99E+08
1.16E+01,-2.77E+00,1.142060939,0.336446,1.69724,1.99E+08
1.16E+01,-2.76E+00,1.139616139,0.336052,1.6956,1.99E+08
1.16E+01,-2.76E+00,1.137005913,0.335597,1.69401,1.99E+08
1.16E+01,-2.75E+00,1.134212335,0.335076,1.69247,1.99E+08
1.16E+01,-2.75E+00,1.131218574,0.334486,1.69098,1.99E+08
1.16E+01,-2.74E+00,1.128008978,0.333823,1.68953,1.99E+08
1.16E+01,-2.74E+00,1.124569148,0.333083,1.68812,1.99E+08
1.16E+01,-2.73E+00,1.120886014,0.332263,1.68674,1.99E+08
1.16E+01,-2.73E+00,1.11694791,0.331362,1.68539,1.99E+08
1.16E+01,-2.73E+00,1.112744629,0.330377,1.68405,1.99E+08
1.17E+01,-2.72E+00,1.108267495,0.329307,1.68273,1.99E+08
1.17E+01,-2.72E+00,1.10350941,0.328151,1.6814,1.99E+08
1.17E+01,-2.72E+00,1.098464906,0.326908,1.68008,1.99E+08
1.17E+01,-2.71E+00,1.093130192,0.325579,1.67875,1.99E+08
1.17E+01,-2.71E+00,1.087503189,0.324163,1.6774,1.99E+08
1.17E+01,-2.70E+00,1.081583558,0.322663,1.67603,1.99E+08
1.17E+01,-2.70E+00,1.075372727,0.321078,1.67463,1.99E+08
1.17E+01,-2.70E+00,1.068873904,0.319411,1.67319,1.99E+08
1.17E+01,-2.69E+00,1.062092083,0.317665,1.67172,1.99E+08
1.17E+01,-2.69E+00,1.05503404,0.315843,1.67019,1.99E+08
1.18E+01,-2.69E+00,1.047708323,0.313947,1.66861,1.99E+08
1.18E+01,-2.68E+00,1.040125228,0.311982,1.66697,1.99E+08
1.18E+01,-2.68E+00,1.032296767,0.309951,1.66526,1.99E+08
1.18E+01,-2.67E+00,1.024236627,0.30786,1.66348,1.99E+08
1.18E+01,-2.67E+00,1.01596012,0.305714,1.66162,1.99E+08
1.18E+01,-2.66E+00,1.007484115,0.303518,1.65968,1.98E+08
1.18E+01,-2.66E+00,0.998826973,0.301277,1.65765,1.98E+08
1.18E+01,-2.65E+00,0.99000846,0.298999,1.65554,1.98E+08
1.18E+01,-2.65E+00,0.981049661,0.296689,1.65333,1.98E+08
1.18E+01,-2.64E+00,0.971972875,0.294355,1.65102,1.98E+08
1.19E+01,-2.63E+00,0.962801509,0.292003,1.64861,1.98E+08
1.19E+01,-2.63E+00,0.953559963,0.289641,1.64611,1.98E+08
1.19E+01,-2.62E+00,0.9442735,0.287276,1.64349,1.98E+08
1.19E+01,-2.61E+00,0.934968118,0.284916,1.64078,1.98E+08
1.19E+01,-2.60E+00,0.925670408,0.282569,1.63796,1.97E+08
1.19E+01,-2.59E+00,0.91640741,0.280242,1.63503,1.97E+08
1.19E+01,-2.59E+00,0.907206459,0.277943,1.632,1.97E+08
1.19E+01,-2.58E+00,0.898095031,0.275681,1.62886,1.97E+08
1.19E+01,-2.57E+00,0.889100577,0.273464,1.62563,1.97E+08
1.19E+01,-2.56E+00,0.880250359,0.271299,1.62229,1.96E+08
1.20E+01,-2.55E+00,0.871571282,0.269193,1.61886,1.96E+08
1.20E+01,-2.54E+00,0.863089719,0.267155,1.61533,1.96E+08
1.20E+01,-2.53E+00,0.854831339,0.265193,1.61172,1.96E+08
1.20E+01,-2.52E+00,0.846820932,0.263312,1.60802,1.95E+08
1.20E+01,-2.51E+00,0.839082238,0.26152,1.60424,1.95E+08
1.20E+01,-2.49E+00,0.831637774,0.259823,1.60039,1.95E+08
1.20E+01,-2.48E+00,0.824508666,0.258228,1.59647,1.94E+08
1.20E+01,-2.47E+00,0.817714489,0.25674,1.5925,1.94E+08
1.20E+01,-2.46E+00,0.811273107,0.255363,1.58847,1.94E+08
1.20E+01,-2.45E+00,0.805200533,0.254103,1.5844,1.93E+08
1.21E+01,-2.43E+00,0.799510786,0.252964,1.58029,1.93E+08
1.21E+01,-2.42E+00,0.794215771,0.251948,1.57615,1.93E+08
1.21E+01,-2.41E+00,0.789325172,0.251059,1.57199,1.92E+08
1.21E+01,-2.40E+00,0.784846354,0.250297,1.56783,1.92E+08
1.21E+01,-2.38E+00,0.780784292,0.249665,1.56366,1.92E+08
1.21E+01,-2.37E+00,0.77714152,0.249163,1.55951,1.91E+08
1.21E+01,-2.36E+00,0.77391809,0.248789,1.55537,1.91E+08
1.21E+01,-2.34E+00,0.771111569,0.248544,1.55126,1.91E+08
1.21E+01,-2.33E+00,0.768717049,0.248424,1.54719,1.90E+08
1.21E+01,-2.32E+00,0.766727188,0.248427,1.54317,1.90E+08
1.22E+01,-2.31E+00,0.76513227,0.248549,1.5392,1.90E+08
1.22E+01,-2.30E+00,0.763920291,0.248786,1.53529,1.89E+08
